Longitude, Latitude, Line Group (Path ID), Order of Points 
-122.24346423529411, 37.804660764705886, 1, 384
-122.22882558333333, 37.80843687499999, 1, 385
-122.23272495, 37.812100349999994, 1, 386
-122.25193906666667, 37.8096424, 1, 387
-122.25367763157892, 37.81363336842105, 1, 388
-122.24890423076924, 37.817374, 1, 389
-122.25936752941176, 37.816991823529406, 1, 390
-122.25321853333331, 37.822970733333335, 1, 391
-122.25174100000001, 37.82636884615384, 1, 392
-122.24961113333332, 37.82978659999999, 1, 393
-122.26840785714286, 37.81774814285715, 1, 394
-122.2735364117647, 37.82064888235294, 1, 395
-122.27357263157893, 37.83122173684211, 1, 396
-122.26390105263157, 37.83067705263157, 1, 397
-122.25561584210527, 37.84097515789474, 1, 398
-122.23874713043476, 37.84509986956522, 1, 399
-122.21658641025643, 37.84711548717949, 1, 400
-122.22213950000001, 37.88659543333333, 1, 401
-122.17959432467536, 37.90400679220779, 1, 402
-122.16748672413793, 37.87980606896552, 1, 403
-122.18038356, 37.85683306, 1, 404
-122.1324762954545, 37.905345863636356, 1, 405
-122.10351420833332, 37.889474625, 1, 406
-122.08743626415098, 37.91242033962265, 1, 407
-122.08412856000004, 37.88465398000002, 1, 408
-122.05809988888889, 37.890586777777784, 1, 409
-122.07938370370368, 37.873238407407406, 1, 410
-122.06476649999998, 37.864566730769226, 1, 411
-122.06878030434783, 37.85642243478261, 1, 412
-122.05200307999998, 37.86908417999999, 1, 413
-122.03410217857142, 37.83451005357142, 1, 414
-122.02228521590914, 37.80909952272727, 1, 415
-121.98647950000003, 37.82160986363636, 1, 416
-121.95375006249999, 37.821295812500004, 1, 417
-122.03220773913044, 37.88742754347826, 1, 418
-122.01168440425532, 37.87775640425532, 1, 419
-121.97226347115384, 37.86234329807693, 1, 420
-121.96599562105258, 37.845246705263165, 1, 421
-122.06752754545457, 37.924575969696974, 1, 422
-122.07198108571431, 37.93336231428572, 1, 423
-122.06059390322584, 37.95256641935483, 1, 424
-122.0483310689655, 37.95816134482759, 1, 425
-122.04107668421052, 37.966582263157896, 1, 426
-122.03428122222223, 37.96747594444444, 1, 427
-122.02281949999997, 37.96986272222222, 1, 428
-122.01732929166666, 37.95845420833333, 1, 429
-122.00503203846155, 37.94310623076923, 1, 430
-121.99814635483872, 37.92098577419354, 1, 431
-122.01879588235293, 37.91934211764707, 1, 432
-122.031679, 37.930627333333334, 1, 433
-122.01875208163268, 37.907685795918376, 1, 434
-122.04795353124999, 37.920012781249994, 1, 435
-122.05420067647059, 37.92632202941177, 1, 436
-122.05607251851853, 37.938621555555564, 1, 437
-122.03805873333334, 37.90351482222221, 1, 438
-122.04476138709673, 37.894092354838705, 1, 439
-121.9868765769231, 37.95238480769231, 1, 440
-121.96693105128205, 37.93839143589742, 1, 441
-121.98015419999999, 37.95526056666666, 1, 442
-122.00194633333332, 37.963410999999994, 1, 443
-122.01407140740743, 37.97743574074074, 1, 444
-121.9998993809524, 37.981340952380954, 1, 445
-121.98683966666665, 37.96949266666666, 1, 446
-121.9690240625, 37.965303750000004, 1, 447
-121.95791529411765, 37.96072270588235, 1, 448
-121.93039117777776, 37.95167591111111, 1, 449
-121.92981424637682, 37.89127484057971, 1, 450
-122.02406387500001, 37.990246000000006, 1, 451
-122.03444209999998, 37.99298845, 1, 452
-122.05684371794875, 37.979449256410255, 1, 453
-122.07192555555554, 37.98104102777778, 1, 454
-122.08267133333334, 38.00100466666667, 1, 455
-122.10420466666673, 38.02189268627451, 1, 456
-122.10127215151512, 37.98833727272728, 1, 457
-122.11239666666667, 37.97128684210527, 1, 458
-122.21278363228699, 37.95148814349775, 1, 459
-122.16045194594595, 38.019563905405406, 1, 460
-122.09472882352941, 37.97598876470589, 1, 461
-122.1095061111111, 37.99882155555556, 1, 462
-122.12193005882352, 38.00609188235295, 1, 463
-122.12751795833333, 38.01702370833333, 1, 464
-122.14071842857145, 38.02277771428572, 1, 465
-122.02772088235292, 38.03452135294117, 1, 466
-121.97535422222225, 37.99566668055556, 1, 467
-121.92699827777784, 38.01115746296296, 1, 468
-121.92687658064514, 38.016803354838714, 1, 469
-121.916414625, 38.03213062499999, 1, 470
-121.94664419230769, 38.02395819230769, 1, 471
-121.94716774999999, 38.036385187499995, 1, 472
-121.96843281250001, 38.042446218749994, 1, 473
-121.9000563846154, 38.013254076923076, 1, 474
-121.89520025000002, 38.02142658333333, 1, 475
-121.8952391764706, 38.02699782352941, 1, 476
-121.8709692307692, 38.03853209615385, 1, 477
-121.88202547619048, 38.0047970952381, 1, 478
-121.86753084615384, 38.01410630769231, 1, 479
-121.86448581249998, 38.004042437500004, 1, 480
-121.8475404, 38.0023092, 1, 481
-121.836151425, 37.99000475, 1, 482
-121.8316211875, 37.994725625, 1, 483
-121.81674113043476, 38.000587913043475, 1, 484
-121.79682482758622, 37.99054496551724, 1, 485
-121.76812286363635, 37.98748936363637, 1, 486
-121.75164955999999, 37.97344272, 1, 487
-121.7624712, 37.94730297142856, 1, 488
-121.7337073809524, 37.95273780952381, 1, 489
-121.71142982352943, 37.94047247058823, 1, 490
-121.70684895000002, 37.95734804999999, 1, 491
-121.67390353571429, 37.93517960714286, 1, 492
-121.70805335714284, 37.93122564285714, 1, 493
-121.71034499999998, 37.907817521739126, 1, 494
-121.74016860317462, 37.894762523809526, 1, 495
-121.73145352631578, 37.98364689473685, 1, 496
-121.70634773333335, 37.989386066666675, 1, 497
-121.67068242857141, 37.99410485714286, 1, 498
-121.61627936054425, 38.03130708843536, 1, 499
-121.67068242857141, 37.99410485714286, 1, 500
-121.81550890476187, 37.98666261904762, 1, 501
-121.8430168867925, 37.93752612578615, 1, 502
-121.92531322500001, 37.993631937499984, 1, 503
-121.8733235, 37.980814499999994, 1, 504
-121.79466676923076, 37.976900038461544, 1, 505
-121.8020736181818, 37.94518058181818, 1, 506
-121.77618878260866, 37.97959886956523, 1, 507
-121.77038918750002, 37.969120375, 1, 508
-121.80030193749997, 38.0064765, 1, 509
-121.787516875, 38.00912, 1, 510
-121.7750813714286, 38.01118628571429, 1, 511
-121.72928337500001, 37.9984288125, 1, 512
-121.71864320512822, 38.01631638461538, 1, 513
-121.6908687159091, 38.0991085625, 1, 514
-121.78389341071431, 38.18609465178571, 1, 515
-121.7750813714286, 38.01118628571429, 1, 516
-121.82774854166671, 38.01403487499999, 1, 517
-121.82899055555555, 38.00394111111111, 1, 518
-122.03688763157894, 37.97464836842105, 1, 519
-122.04450894444446, 37.956108222222234, 1, 520
-122.04376328571428, 37.948438, 1, 521
-122.0286395, 37.95440173076923, 1, 522
-122.04640180952381, 37.941687476190474, 1, 523
-122.07157560000003, 37.951622799999996, 1, 524
-122.08989175000004, 37.93430569444444, 1, 525
-122.12067537121214, 37.93015371969698, 1, 526
-122.07749464102565, 37.960523641025645, 1, 527
-122.06347436842103, 37.90563910526315, 1, 528
-122.1052992857143, 37.869003742857146, 1, 529
-122.0990054042553, 37.845870595744685, 1, 530
-122.14015551724138, 37.85536062068966, 1, 531
-122.15737519298241, 37.828287333333336, 1, 532
-122.10621449999994, 37.82398576666667, 1, 533
-122.13798846, 37.87768752, 1, 534
-122.26522800000002, 37.84162827272727, 1, 535
-122.26588433333333, 37.848445466666675, 1, 536
-122.26817815789472, 37.85103957894737, 1, 537
-122.27527326666664, 37.85003853333334, 1, 538
-122.281586, 37.8502258125, 1, 539
-122.28383108333333, 37.85777341666666, 1, 540
-122.27674576923079, 37.859334230769235, 1, 541
-122.27847119999998, 37.866656000000006, 1, 542
-122.26893463636365, 37.86807690909091, 1, 543
-122.27824291666667, 37.87448866666667, 1, 544
-122.27803466666666, 37.88111133333333, 1, 545
-122.28966384615386, 37.88129, 1, 546
-122.27062000000001, 37.88217358333333, 1, 547
-122.27180406666666, 37.888403866666664, 1, 548
-122.27612435714285, 37.89804353571429, 1, 549
-122.28198410344824, 37.89014289655173, 1, 550
-122.28737978260868, 37.88701856521739, 1, 551
-122.29130605882352, 37.895304, 1, 552
-122.29736146153846, 37.89442661538462, 1, 553
-122.29155535, 37.905107799999996, 1, 554
